Name	p-value
17beta-estradiol-3,4-quinone[c]	0.011028
17beta-estradiol-3,4-quinone[m]	0.011028
17beta-estradiol-3,4-quinone[p]	0.011028
17beta-estradiol-3,4-quinone[r]	0.011028
2-hydroxy-17beta-estradiol-1-S-glutathione[c]	0.011028
2-hydroxy-17beta-estradiol-1-S-glutathione[m]	0.011028
2-hydroxy-17beta-estradiol-1-S-glutathione[p]	0.011028
2-hydroxy-17beta-estradiol-1-S-glutathione[r]	0.011028
2-hydroxy-17beta-estradiol-4-S-glutathione[c]	0.011028
2-hydroxy-17beta-estradiol-4-S-glutathione[m]	0.011028
2-hydroxy-17beta-estradiol-4-S-glutathione[p]	0.011028
2-hydroxy-17beta-estradiol-4-S-glutathione[r]	0.011028
2-hydroxyestrone-1-S-glutathione[c]	0.011028
2-hydroxyestrone-1-S-glutathione[m]	0.011028
2-hydroxyestrone-1-S-glutathione[p]	0.011028
2-hydroxyestrone-1-S-glutathione[r]	0.011028
2-hydroxyestrone-4-S-glutathione[c]	0.011028
2-hydroxyestrone-4-S-glutathione[m]	0.011028
2-hydroxyestrone-4-S-glutathione[p]	0.011028
2-hydroxyestrone-4-S-glutathione[r]	0.011028
4-hydroxy-17beta-estradiol-2-S-glutathione[c]	0.011028
4-hydroxy-17beta-estradiol-2-S-glutathione[m]	0.011028
4-hydroxy-17beta-estradiol-2-S-glutathione[p]	0.011028
4-hydroxy-17beta-estradiol-2-S-glutathione[r]	0.011028
4-hydroxyestrone-2-S-glutathione[c]	0.011028
4-hydroxyestrone-2-S-glutathione[m]	0.011028
4-hydroxyestrone-2-S-glutathione[p]	0.011028
4-hydroxyestrone-2-S-glutathione[r]	0.011028
estrone-2,3-quinone[c]	0.011028
estrone-2,3-quinone[m]	0.011028
estrone-2,3-quinone[p]	0.011028
estrone-2,3-quinone[r]	0.011028
estrone-3,4-quinone[c]	0.011028
estrone-3,4-quinone[m]	0.011028
estrone-3,4-quinone[p]	0.011028
estrone-3,4-quinone[r]	0.011028
L-dopaquinone[c]	0.011028
dimethylallyl-PP[c]	0.011155
succinate[c]	0.011438
1,2-dibromoethane[c]	0.011813
hydrobromic-acid[c]	0.011813
(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[c]	0.011821
(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene[c]	0.011898
(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene[c]	0.011898
1-nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene[c]	0.011898
1-nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene[c]	0.011898
1-nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene[c]	0.011898
1-nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene[c]	0.011898
2,3-dihydro-2-S-glutathionyl-3-hydroxy-bromobenzene[c]	0.011898
4,5-dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene[c]	0.011898
7,8-dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene[c]	0.011898
aflatoxin-B1-exo-8,9-epoxide-GSH[c]	0.011898
hydrochloride[c]	0.011898
S-(1,2-dichlorovinyl)glutathione[c]	0.011898
S-(2,2-dichloro-1-hydroxy)ethyl-glutathione[c]	0.011898
S-(formylmethyl)glutathione[c]	0.011898
keratan-sulfate-I,-degradation-product-3[l]	0.012036
lipoamide[m]	0.012298
1-acylglycerol-VLDL-pool[s]	0.012578
fatty-acid-VLDL-pool[s]	0.012578
LDL-remnant[s]	0.012578
LDL[s]	0.012578
N-acetylneuraminate[l]	0.012631
chondroitin-sulfate-C-(GalNAc6S-GlcA),-degradation-product-3[l]	0.012744
chondroitin-sulfate-D-(GlcNAc6S-GlcA2S),-degradation-product-4[l]	0.012744
aspartate[c]	0.013035
Pi[p]	0.013202
[phosphorylase-A][c]	0.013396
[phosphorylase-B][c]	0.013396
thymine[c]	0.013604
D-galactosyl-N-acylsphingosine[l]	0.013653
(1R,2S)-naphthalene-1,2-oxide[c]	0.013787
(1S,2R)-naphthalene-1,2-oxide[c]	0.013787
1-nitronaphthalene-5,6-oxide[c]	0.013787
aflatoxin-B1-exo-8,9-epoxide[c]	0.013787
benzo[a]pyrene-7,8-diol[c]	0.013787
heparan-sulfate,-precursor-1[g]	0.014058
3-sulfinoalanine[m]	0.014136
3-sulfinylpyruvic-acid[m]	0.014136
4-hydroxyphenylpyruvate[m]	0.014136
L-cysteate[m]	0.014136
phenylalanine[m]	0.014136
tyrosine[m]	0.014136
chondroitin-sulfate-B---dermatan-sulfate-(IdoA2S-GalNAc4S),-degradation-product-3[l]	0.01419
heparan-sulfate,-degradation-product-16[l]	0.01419
heparan-sulfate,-degradation-product-22[l]	0.01419
5-hydroxyindoleacetaldehyde[c]	0.014763
lauric-acid[c]	0.014993
lipoic-acid[c]	0.015116
chondroitin-sulfate-E-(GalNAc4,6diS-GlcA),-degradation-product-6[l]	0.015276
3-demethylubiquinol-10[m]	0.01528
2-Decaprenyl-5-Hydroxy-6-Methoxy-3-Methyl-1,4-Benzoquinone[m]	0.01528
heparan-sulfate,-precursor-9[g]	0.015493
O2[n]	0.01607
L-cysteate[c]	0.016366
H+[g]	0.016666
3-sulfopyruvate[m]	0.016807
glucose-1,6-bisphosphate[c]	0.016905
3-sulfinoalanine[c]	0.017426
heparan-sulfate,-precursor-11[g]	0.018488
12-keto-LTB4[c]	0.019463
12-keto-LTB4[m]	0.019463
12-keto-LTB4[p]	0.019463
glucosylceramide-pool[c]	0.019571
H2O2[n]	0.019812
O2-[n]	0.019812
O2-[p]	0.019812
1-nitronaphthalene-7,8-oxide[c]	0.020173
2,2-dichloroacetaldehyde[c]	0.020173
benzo[a]pyrene-4,5-oxide[c]	0.020173
bromobenzene-2,3-oxide[c]	0.020173
trichloroethene[c]	0.020173
HCO3-[m]	0.020437
fructose[s]	0.0217
G00031[g]	0.022011
succinate[m]	0.022351
4-androstene-3,17-dione[c]	0.022463
[protein]-L-tyrosine[c]	0.023071
[protein]-tyrosine-phosphate[c]	0.023071
heparan-sulfate,-degradation-product-11[l]	0.023537
palmitolate[c]	0.023817
1-pyrroline-5-carboxylate[c]	0.023837
1-pyrroline-5-carboxylate[m]	0.023837
L-1-pyrroline-3-hydroxy-5-carboxylate[m]	0.023837
sulfatide[l]	0.02549
fatty-acid-pool[c]	0.026254
digalactosylceramidesulfate[g]	0.026916
PAP[l]	0.026916
PAPS[l]	0.026916
sulfatide-galactocerebroside[g]	0.026916
chondroitin-sulfate-A-(GalNAc4S-GlcA),-degradation-product-3[l]	0.027226
hepoxilin-A3[r]	0.027448
(10Z)-heptadecenoic-acid[s]	0.027462
(11Z,14Z)-eicosadienoic-acid[s]	0.027462
(11Z,14Z,17Z)-eicosatrienoic-acid[s]	0.027462
(13Z)-eicosenoic-acid[s]	0.027462
(13Z)-octadecenoic-acid[s]	0.027462
(13Z,16Z)-docosadienoic-acid[s]	0.027462
(4Z,7Z,10Z,13Z,16Z)-DPA[s]	0.027462
(6Z,9Z)-octadecadienoic-acid[s]	0.027462
(6Z,9Z,12Z,15Z,18Z)-TPA[s]	0.027462
(6Z,9Z,12Z,15Z,18Z,21Z)-THA[s]	0.027462
(7Z)-octadecenoic-acid[s]	0.027462
(7Z)-tetradecenoic-acid[s]	0.027462
(9E)-tetradecenoic-acid[s]	0.027462
(9Z,12Z,15Z,18Z)-TTA[s]	0.027462
(9Z,12Z,15Z,18Z,21Z)-TPA[s]	0.027462
10,13,16,19-docosatetraenoic-acid[s]	0.027462
10,13,16-docosatriynoic-acid[s]	0.027462
12,15,18,21-tetracosatetraenoic-acid[s]	0.027462
13,16,19-docosatrienoic-acid[s]	0.027462
7-palmitoleic-acid[s]	0.027462
8,11-eicosadienoic-acid[s]	0.027462
9-eicosenoic-acid[s]	0.027462
9-heptadecylenic-acid[s]	0.027462
arachidonate[s]	0.027462
behenic-acid[s]	0.027462
cerotic-acid[s]	0.027462
cis-cetoleic-acid[s]	0.027462
decanoic-acid[c]	0.027462
decanoic-acid[s]	0.027462
DHA[s]	0.027462
dihomo-gamma-linolenate[s]	0.027462
DPA[s]	0.027462
elaidate[s]	0.027462
EPA[s]	0.027462
gamma-linolenate[s]	0.027462
henicosanoic-acid[s]	0.027462
heptylic-acid[c]	0.027462
heptylic-acid[s]	0.027462
hexanoic-acid[c]	0.027462
hexanoic-acid[s]	0.027462
linoleate[s]	0.027462
linolenate[s]	0.027462
margaric-acid[s]	0.027462
mead-acid[s]	0.027462
myristic-acid[s]	0.027462
nonadecylic-acid[s]	0.027462
nonanoic-acid[c]	0.027462
nonanoic-acid[s]	0.027462
octanoic-acid[c]	0.027462
octanoic-acid[s]	0.027462
oleate[s]	0.027462
omega-3-arachidonic-acid[s]	0.027462
palmitate[s]	0.027462
palmitolate[s]	0.027462
pentadecylic-acid[s]	0.027462
physeteric-acid[s]	0.027462
stearate[s]	0.027462
stearidonic-acid[s]	0.027462
tricosanoic-acid[s]	0.027462
tridecylic-acid[s]	0.027462
undecylic-acid[c]	0.027462
undecylic-acid[s]	0.027462
valeric-acid[c]	0.027462
valeric-acid[s]	0.027462
ximenic-acid[s]	0.027462
7-dehydrodesmosterol[c]	0.027594
provitamin-D3[r]	0.027594
7-dehydrodesmosterol[r]	0.027594
UDP[g]	0.027907
UDP[c]	0.028064
isopentenyl-pPP[c]	0.0285
GDP[s]	0.028761
creatine[m]	0.029049
creatine-phosphate[c]	0.029049
creatine-phosphate[m]	0.029049
dihydrolipoate[c]	0.029084
glutathione-episulfonium-ion[c]	0.031385
phosphatidate-LD-PC-pool[c]	0.03143
phosphatidate-LD-PE-pool[c]	0.03143
phosphatidate-LD-PS-pool[c]	0.03143
keratan-sulfate-I[g]	0.032239
keratan-sulfate-II-(core-2-linked)[g]	0.032239
keratan-sulfate-II-(core-4-linked)[g]	0.032239
chondroitin-sulfate-E-(GalNAc4,6diS-GlcA),-degradation-product-5[l]	0.032444
2,4,7,10-Hexadecatetraenoyl-Coenzyme-A[m]	0.032568
2,4,7,10,13-Hexadecapentaenoyl-Coenzyme-A[m]	0.032568
2,4,7,10,13,16-Docosahexenoyl-Coenzyme-A[m]	0.032568
2,4,7,10,13,16,19-Docosaheptenoyl-Coenzyme-A[m]	0.032568
acetoacetyl-CoA[m]	0.03306
prostaglandin-H1[c]	0.033627
prostaglandin-H2[c]	0.033627
sn-glycerol-3-PC[c]	0.033814
sn-glycerol-3-PE[c]	0.033814
RNA[c]	0.034153
squalene-2,3-oxide[c]	0.034845
squalene-2,3-oxide[r]	0.034845
(S)-3-sulfolactate[c]	0.034868
H2O2[c]	0.035235
cis-aconitate[c]	0.035239
EPA[c]	0.035259
(Glc)3-(GlcNAc)2-(Man)9-(PP-Dol)1[r]	0.035398
H2O[r]	0.035511
AICAR[c]	0.035518
cAMP[c]	0.035586
cGMP[c]	0.035586
10-formyl-THF[l]	0.035613
10-formyl-THF[s]	0.035613
10-formyl-THF-glu(7)[l]	0.035613
10-formyl-THF-glu(7)[s]	0.035613
dihydrofolate[l]	0.035613
dihydrofolate[s]	0.035613
heptaglutamyl-folate(DHF)[l]	0.035613
heptaglutamyl-folate(DHF)[s]	0.035613
heptaglutamyl-folate(THF)[l]	0.035613
heptaglutamyl-folate(THF)[s]	0.035613
THF[l]	0.035613
THF[s]	0.035613
NAD+[c]	0.035743
5-pp-inspP5[c]	0.035804
tryptamine[c]	0.036276
lathosterol[r]	0.036827
